Gene Symbols,Fold Change,P-Value
TRHDE,-2.220773341340122,2.7326179716104932e-09
EPB41L4B,-2.033562047808728,9.733451943873611e-06
CUZD1,-2.238735120974188,0.009633113964146312
SAMSN1,2.1415490950876293,3.8488466197476134e-07
PSAT1,-2.0493545743487607,8.457760992032195e-09
TEX11,-2.1200739679744673,3.0869608079468184e-07
RBPJL,-2.406350484380461,3.3492677245813406e-07
LEF1,2.5520585273437595,5.792201629522291e-12
COL5A2,3.0617248216250377,1.4065752177467066e-18
COL5A2,3.4387427381476967,1.6714473552526536e-17
VCAN,3.370659459605457,1.911285004681733e-19
RARRES1,3.032951948791223,2.1402448965963044e-14
ETV1,2.1430476411200523,2.8018139106410715e-15
TMC5,2.0919764693482517,2.4883755327607854e-08
SLC16A10,-2.088918854076964,1.1085676130546935e-07
PSAT1,-2.502467583314567,7.923970321870866e-09
SFRP2,2.896784799848953,1.808630192938155e-13
SFRP2,2.437890381390424,2.2484677239719636e-10
GJB2,3.5380340250933857,1.8929565519364982e-15
CRISPLD1,2.1039431332900334,1.955842654326949e-11
C15orf48,2.1607658823462086,5.31154322307802e-10
C19orf33,2.120637624957521,1.4799647966858226e-07
GUCA1C,-2.49160758338286,1.3552946799936703e-07
ASPN,2.1684632925261673,2.8031409303730583e-13
ANTXR1,2.554090627573408,4.150313621028541e-18
SULF2,2.252115981343159,3.6196832357418838e-12
CCDC80,2.064519271166419,3.8562129834489003e-10
EDIL3,2.283922666211945,4.242157192491308e-12
COL12A1,2.306806682657792,5.252833310895644e-14
CTHRC1,4.335902755149527,2.6682436101110356e-19
GNB4,2.050944624811046,3.441477354575701e-11
COL8A1,4.751762793067414,3.899076898871448e-21
KIAA1324,-2.216723390253509,1.2927073474510198e-05
ADAMTS2,2.4827754496071446,1.0226646010965527e-17
ITGB6 /// LOC100505984,2.781528456401877,2.74033505503626e-12
CD109,2.239869843031403,9.545066848799625e-14
ZNF521,2.003743255628783,2.4788793481527384e-11
ZNF521,2.153571688592372,6.410915937534367e-11
PRRX1,2.362179162335047,2.918414067642677e-14
ADAM12,2.917576474134821,3.2115994454449197e-13
PLXDC2,2.258885795699941,9.304381914516026e-15
FNDC1,2.489590425285109,2.0719626824341965e-15
ADAMTS12,2.2205879815979195,6.518917858048625e-20
GLT8D2,2.2687444846151195,5.803220087318947e-14
INHBA,5.750422200711756,6.210162801752489e-22
FAM3B,-2.0473857270210187,0.0002503166358105285
CP,2.116854306552401,1.2191222764898312e-09
PLXDC2,2.05826771149544,1.3405651902044328e-17
ITGA2,2.3843309005518605,4.472343917639806e-16
ERP27,-2.5827758998948154,0.0003391213579167431
LOC102725271 /// NTM,3.795572560125417,4.756932490849363e-21
GPX8,2.0484042147806125,1.4717710340501235e-16
CLDN11,2.3626833148862696,3.676450687133435e-10
228481_at,2.488834756134127,1.741674522466787e-15
DPP10,-2.0753033971244053,1.4956604566317062e-08
PCDH7,2.6001418010933586,3.1533792493817525e-11
SLC6A6,2.4105257378303047,2.257804420880413e-16
HOXB3,2.030354183152117,1.2624602638642416e-15
COL1A2,2.8189412726060623,1.20130863161641e-18
CTA-445C9.15,-2.3545905790817634,4.618641758249974e-08
FAM19A5,2.2799047873071876,7.554913743883091e-18
229479_at,2.662673585389856,3.6686958692196023e-17
LUM,2.453698791487378,1.7504488684375323e-15
SPX,-3.2130269346614466,5.5155308298871366e-08
WISP1,3.7506343475072415,8.541934982893899e-19
PI15,2.0499881983556594,4.866068070114146e-10
SYCN,-2.9583525385238474,0.0014623645754900238
F2RL2,2.4118258419039513,8.199526489071205e-12
TMEM52,-2.136911747136377,6.893458138742972e-08
SHISA2,2.358423326088647,4.365326395672178e-17
GBP1,2.0453768931423566,1.1060432928582021e-07
COL12A1,2.7656371999815788,1.7001857272483922e-13
COL12A1,2.3733478774404237,9.216570986621144e-13
ITGBL1,2.4116201065239604,1.1181971044279617e-13
RUNX2,2.733850732730933,3.669273725962355e-12
COL3A1,2.782305615297406,1.7597615327219485e-17
MGC24103,2.2375510667555694,1.0640543806975298e-14
CLDN18,2.841267347680137,3.804425257012329e-07
AK021804,2.0185749625717797,3.794170747869727e-12
TEX11,-3.0344662637010207,4.1102071247212384e-06
SULF2,2.030816441817488,1.6477486349954824e-11
233690_at,2.0256833702767403,3.1476931549164983e-10
TEX11,-2.6952087546542973,4.0786557691855125e-06
TMEM200A,2.435899175450717,8.606593713548481e-13
235229_at,2.0101088882060925,1.2168787632981708e-09
FBN1,2.1229721959245227,7.275159896802252e-13
HOXA3,2.1067837035425154,2.0839925546848903e-14
235629_at,2.705804017885579,2.282131180735962e-17
CTA-445C9.15,-2.089609167758649,5.182259369911079e-08
WISP1,2.1557277782688646,3.532895776234733e-17
235965_at,-2.2174620383839416,1.1550705821967454e-06
PPAPDC1A,2.1265323411918082,1.703447744604457e-13
236114_at,2.0660249360424454,2.684352274358558e-14
CDH11,2.487701252054389,8.95745996858109e-14
SLC16A10,-2.4907905132760626,2.0384432065406873e-08
PLXDC2,2.37737090675838,2.3678985800929563e-17
CDKN2B,2.2721403902871415,2.0152497672101759e-10
TMED6,-2.8779575387591456,1.8718056722341853e-05
GPHA2,-2.0546698209462866,7.053973071874361e-08
SDR16C5,2.2129298801225925,4.4690989206380416e-09
PLXDC2,2.3836187878176154,1.755929038768886e-17
MGP,2.3443030167049046,2.8232712136188064e-12
KIF26B,2.6956818555444313,5.333314134099496e-18
RP3-428L16.2,2.1694091815710554,5.2174657634563706e-12
PRRX1,2.196708827981793,4.985242611297678e-14
PM20D1,-2.3605070125877616,4.649317984327726e-08
LOC102724257 /// TMC5,2.6454975202392905,2.630239588924864e-09
241473_at,2.4167213705825974,2.941792785469496e-19
241872_at,2.301730368135166,7.974446277226578e-19
242397_at,2.3047129692986212,8.672927065430462e-13
SFN,2.026654137493351,2.6618865848577363e-10
SFN,2.376217259170471,1.1163383082866802e-10
CD52,2.0086150705180965,1.7147243994693875e-05
CRP,2.1639391595777036,1.2593279597161203e-08
COL11A1,4.454319765058577,9.549956939472014e-18
