mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%
,,,,,,,,,,,,,,,,,,
Movers,,,,,,,,,,,,,,,,,,
Axial,Temp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Axial,Block,Step:1,Ramp to Level,Control Channel Load,Level: 0.140400,Rate: 0.100000,Channel: Load,,,,,,,,,,,
Axial,Block,Step:2,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:3,Triangle Wave,Control Channel Disp,Level1: 0.000000,Level2: 0.464000,Cycles: 20,Frequency: 0.167000,,,,,,,,,,
Axial,Block,Step:4,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:5,Ramp,Control Channel Disp,Level: 1.160000,Rate: 0.116000,,,,,,,,,,,,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
56,8.052,8.052,-1.108829,0.08,,,,,,,,,,,,,,
57,8.1984,8.1984,-1.108776,0.08,,,,,,,,,,,,,,
58,8.3448,8.3448,-1.108813,0.08,,,,,,,,,,,,,,
59,8.4912,8.4912,-1.10869,0.07,,,,,,,,,,,,,,
60,8.6376,8.6376,-1.108717,0.07,,,,,,,,,,,,,,
61,8.784,8.784,-1.108857,0.08,,,,,,,,,,,,,,
62,8.9304,8.9304,-1.108899,0.07,,,,,,,,,,,,,,
63,9.0768,9.0768,-1.108712,0.07,,,,,,,,,,,,,,
64,9.2232,9.2232,-1.108683,0.08,,,,,,,,,,,,,,
65,9.3696,9.3696,-1.10884,0.08,,,,,,,,,,,,,,
66,9.516,9.516,-1.108822,0.07,,,,,,,,,,,,,,
67,9.6624,9.6624,-1.108725,0.09,,,,,,,,,,,,,,
68,9.8088,9.8088,-1.10873,0.07,,,,,,,,,,,,,,
69,9.9552,9.9552,-1.108739,0.08,,,,,,,,,,,,,,
70,10.1016,10.1016,-1.108896,0.06,,,,,,,,,,,,,,
71,10.248,10.248,-1.108725,0.08,,,,,,,,,,,,,,
72,10.3944,10.3944,-1.108699,0.08,,,,,,,,,,,,,,
73,10.5408,10.5408,-1.10865,0.08,,,,,,,,,,,,,,
74,10.6872,10.6872,-1.108814,0.08,,,,,,,,,,,,,,
75,10.8336,10.8336,-1.108883,0.07,,,,,,,,,,,,,,
76,10.98,10.98,-1.108763,0.07,,,,,,,,,,,,,,
77,11.1264,11.1264,-1.108702,0.08,,,,,,,,,,,,,,
78,11.2728,11.2728,-1.108677,0.08,,,,,,,,,,,,,,
79,11.4192,11.4192,-1.108761,0.07,,,,,,,,,,,,,,
80,11.5656,11.5656,-1.103944,0.08,,,,,,,,,,,,,,
81,11.712,11.712,-1.081117,0.09,,,,,,,,,,,,,,
82,11.8584,11.8584,-1.058318,0.1,,,,,,,,,,,,,,
83,12.0048,12.0048,-1.035752,0.1,,,,,,,,,,,,,,
84,12.1512,12.1512,-1.012973,0.13,,,,,,,,,,,,,,
85,12.2976,12.2976,-0.990363,0.14,,,,,,,,,,,,,,
86,12.444,12.444,-0.967522,0.16,,,,,,,,,,,,,,
87,12.5904,12.5904,-0.944889,0.19,,,,,,,,,,,,,,
