From	To	Species	Gene Name
204471_AT	GAP43	Homo sapiens	growth associated protein 43(GAP43)
205997_AT	ADAM28	Homo sapiens	ADAM metallopeptidase domain 28(ADAM28)
203717_AT	DPP4	Homo sapiens	dipeptidyl peptidase 4(DPP4)
235965_AT	BHLHA15	Homo sapiens	basic helix-loop-helix family member a15(BHLHA15)
32128_AT	CCL18	Homo sapiens	C-C motif chemokine ligand 18(CCL18)
1555758_A_AT	CDKN3	Homo sapiens	cyclin dependent kinase inhibitor 3(CDKN3)
211582_X_AT	LST1	Homo sapiens	leukocyte specific transcript 1(LST1)
205357_S_AT	AGTR1	Homo sapiens	angiotensin II receptor type 1(AGTR1)
209614_AT	ADH1B	Homo sapiens	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)
220595_AT	PDZRN4	Homo sapiens	PDZ domain containing ring finger 4(PDZRN4)
204533_AT	CXCL10	Homo sapiens	C-X-C motif chemokine ligand 10(CXCL10)
222895_S_AT	BCL11B	Homo sapiens	BAF chromatin remodeling complex subunit BCL11B(BCL11B)
225016_AT	APCDD1	Homo sapiens	APC down-regulated 1(APCDD1)
221886_AT	DENND2A	Homo sapiens	DENN domain containing 2A(DENND2A)
1558972_S_AT	THEMIS	Homo sapiens	thymocyte selection associated(THEMIS)
219434_AT	TREM1	Homo sapiens	triggering receptor expressed on myeloid cells 1(TREM1)
230644_AT	LRFN5	Homo sapiens	leucine rich repeat and fibronectin type III domain containing 5(LRFN5)
243672_AT	SALL3	Homo sapiens	spalt like transcription factor 3(SALL3)
222317_AT	PDE3B	Homo sapiens	phosphodiesterase 3B(PDE3B)
224451_X_AT	ARHGAP9	Homo sapiens	Rho GTPase activating protein 9(ARHGAP9)
218469_AT	GREM1	Homo sapiens	gremlin 1, DAN family BMP antagonist(GREM1)
219386_S_AT	SLAMF8	Homo sapiens	SLAM family member 8(SLAMF8)
219118_AT	FKBP11	Homo sapiens	FKBP prolyl isomerase 11(FKBP11)
205671_S_AT	HLA-DOB	Homo sapiens	major histocompatibility complex, class II, DO beta(HLA-DOB)
217562_AT	BRINP3	Homo sapiens	BMP/retinoic acid inducible neural specific 3(BRINP3)
239183_AT	ANGPTL1	Homo sapiens	angiopoietin like 1(ANGPTL1)
206552_S_AT	TAC1	Homo sapiens	tachykinin precursor 1(TAC1)
205859_AT	LY86	Homo sapiens	lymphocyte antigen 86(LY86)
207134_X_AT	TPSB2	Homo sapiens	tryptase beta 2(TPSB2)
1555756_A_AT	CLEC7A	Homo sapiens	C-type lectin domain containing 7A(CLEC7A)
237515_AT	TLCD4	Homo sapiens	TLC domain containing 4(TLCD4)
210785_S_AT	THEMIS2	Homo sapiens	thymocyte selection associated family member 2(THEMIS2)
204508_S_AT	CA12	Homo sapiens	carbonic anhydrase 12(CA12)
202920_AT	ANK2	Homo sapiens	ankyrin 2(ANK2)
205825_AT	PCSK1	Homo sapiens	proprotein convertase subtilisin/kexin type 1(PCSK1)
219937_AT	TRHDE	Homo sapiens	thyrotropin releasing hormone degrading enzyme(TRHDE)
206796_AT	CCN4	Homo sapiens	cellular communication network factor 4(CCN4)
215925_S_AT	CD72	Homo sapiens	CD72 molecule(CD72)
1559280_A_AT	APELA	Homo sapiens	apelin receptor early endogenous ligand(APELA)
221210_S_AT	NPL	Homo sapiens	N-acetylneuraminate pyruvate lyase(NPL)
210845_S_AT	PLAUR	Homo sapiens	plasminogen activator, urokinase receptor(PLAUR)
227771_AT	LIFR	Homo sapiens	LIF receptor subunit alpha(LIFR)
227506_AT	SLC16A9	Homo sapiens	solute carrier family 16 member 9(SLC16A9)
205590_AT	RASGRP1	Homo sapiens	RAS guanyl releasing protein 1(RASGRP1)
211734_S_AT	FCER1A	Homo sapiens	Fc epsilon receptor Ia(FCER1A)
209031_AT	CADM1	Homo sapiens	cell adhesion molecule 1(CADM1)
37892_AT	COL11A1	Homo sapiens	collagen type XI alpha 1 chain(COL11A1)
202546_AT	VAMP8	Homo sapiens	vesicle associated membrane protein 8(VAMP8)
207992_S_AT	AMPD3	Homo sapiens	adenosine monophosphate deaminase 3(AMPD3)
209763_AT	CHRDL1	Homo sapiens	chordin like 1(CHRDL1)
205804_S_AT	TRAF3IP3	Homo sapiens	TRAF3 interacting protein 3(TRAF3IP3)
219725_AT	TREM2	Homo sapiens	triggering receptor expressed on myeloid cells 2(TREM2)
226145_S_AT	FRAS1	Homo sapiens	Fraser extracellular matrix complex subunit 1(FRAS1)
204774_AT	EVI2A	Homo sapiens	ecotropic viral integration site 2A(EVI2A)
235849_AT	SCARA5	Homo sapiens	scavenger receptor class A member 5(SCARA5)
243582_AT	SH3RF2	Homo sapiens	SH3 domain containing ring finger 2(SH3RF2)
206869_AT	CHAD	Homo sapiens	chondroadherin(CHAD)
229151_AT	SLC14A1	Homo sapiens	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)
225687_AT	FAM83D	Homo sapiens	family with sequence similarity 83 member D(FAM83D)
214023_X_AT	TUBB2B	Homo sapiens	tubulin beta 2B class IIb(TUBB2B)
204661_AT	CD52	Homo sapiens	CD52 molecule(CD52)
207717_S_AT	PKP2	Homo sapiens	plakophilin 2(PKP2)
230792_AT	FAAH2	Homo sapiens	fatty acid amide hydrolase 2(FAAH2)
230237_AT	ADCYAP1	Homo sapiens	adenylate cyclase activating polypeptide 1(ADCYAP1)
202454_S_AT	ERBB3	Homo sapiens	erb-b2 receptor tyrosine kinase 3(ERBB3)
205624_AT	CPA3	Homo sapiens	carboxypeptidase A3(CPA3)
221796_AT	NTRK2	Homo sapiens	neurotrophic receptor tyrosine kinase 2(NTRK2)
204007_AT	FCGR3B	Homo sapiens	Fc gamma receptor IIIb(FCGR3B)
213416_AT	ITGA4	Homo sapiens	integrin subunit alpha 4(ITGA4)
224339_S_AT	ANGPTL1	Homo sapiens	angiopoietin like 1(ANGPTL1)
235048_AT	FAM169A	Homo sapiens	family with sequence similarity 169 member A(FAM169A)
223597_AT	ITLN1	Homo sapiens	intelectin 1(ITLN1)
225647_S_AT	CTSC	Homo sapiens	cathepsin C(CTSC)
221898_AT	PDPN	Homo sapiens	podoplanin(PDPN)
221651_X_AT	IGKV1-5	Homo sapiens	immunoglobulin kappa variable 1-5(IGKV1-5)
235118_AT	CADM2	Homo sapiens	cell adhesion molecule 2(CADM2)
235548_AT	APCDD1L	Homo sapiens	APC down-regulated 1 like(APCDD1L)
234192_S_AT	GKAP1	Homo sapiens	G kinase anchoring protein 1(GKAP1)
204389_AT	MAOA	Homo sapiens	monoamine oxidase A(MAOA)
235978_AT	FABP4	Homo sapiens	fatty acid binding protein 4(FABP4)
217235_X_AT	IGLV@	Homo sapiens	immunoglobulin lambda variable cluster(IGLV@)
212942_S_AT	CEMIP	Homo sapiens	cell migration inducing hyaluronidase 1(CEMIP)
230061_AT	TM4SF18	Homo sapiens	transmembrane 4 L six family member 18(TM4SF18)
205846_AT	PTPRB	Homo sapiens	protein tyrosine phosphatase receptor type B(PTPRB)
229779_AT	COL4A4	Homo sapiens	collagen type IV alpha 4 chain(COL4A4)
227202_AT	CNTN1	Homo sapiens	contactin 1(CNTN1)
240173_AT	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
209813_X_AT	TARP	Homo sapiens	TCR gamma alternate reading frame protein(TARP)
216984_X_AT	IGLJ3	Homo sapiens	immunoglobulin lambda joining 3(IGLJ3)
214111_AT	OPCML	Homo sapiens	opioid binding protein/cell adhesion molecule like(OPCML)
209933_S_AT	CD300A	Homo sapiens	CD300a molecule(CD300A)
203963_AT	CA12	Homo sapiens	carbonic anhydrase 12(CA12)
207571_X_AT	THEMIS2	Homo sapiens	thymocyte selection associated family member 2(THEMIS2)
210895_S_AT	CD86	Homo sapiens	CD86 molecule(CD86)
228194_S_AT	SORCS1	Homo sapiens	sortilin related VPS10 domain containing receptor 1(SORCS1)
203471_S_AT	PLEK	Homo sapiens	pleckstrin(PLEK)
220310_AT	TUBAL3	Homo sapiens	tubulin alpha like 3(TUBAL3)
212543_AT	CRYBG1	Homo sapiens	crystallin beta-gamma domain containing 1(CRYBG1)
236141_AT	HAND2-AS1	Homo sapiens	HAND2 antisense RNA 1(HAND2-AS1)
209901_X_AT	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
205798_AT	IL7R	Homo sapiens	interleukin 7 receptor(IL7R)
204597_X_AT	STC1	Homo sapiens	stanniocalcin 1(STC1)
